movie_slug,role_name,original_actor,suggestions
heat,Neil McCauley,Robert De Niro,Jake Gyllenhaal; Tom Hardy; Leonardo DiCaprio; Matthew McConaughey; Andrew Garfield; Jack O'Connell; Tobey Maguire; Adrien Brody
heat,Chris Shiherlis,Val Kilmer,Ryan Gosling; Tom Cruise; Brad Pitt; Shia LaBeouf; Nathan Fillion; Ben Affleck; Jesse Plemons; Josh Brolin
heat,Nate,Jon Voight,Walton Goggins; Kevin Bacon; Michael C. Hall; Stephen Graham; Scott Adkins; Woody Harrelson; Jeffrey Dean Morgan; Vin Diesel
heat,Michael Cheritto,Tom Sizemore,Tom Hardy; Michele Morrone; Javier Bardem; Dave Bautista; Dolph Lundgren; Jean-Claude Van Damme; Mads Mikkelsen
heat,Justine,Diane Venora,Rebecca Ferguson; Jennifer Connelly; Penélope Cruz; Emma Stone; Ana de Armas; Rachel McAdams; Eva Green; Charlize Theron
heat,Eady,Amy Brenneman,Anya Taylor-Joy; Zendaya; Hailee Steinfeld; Madelyn Cline; Elle Fanning; Emma Myers; Sydney Sweeney; Sadie Sink
rear-window,L.B. Jefferies,James Stewart,Ryan Gosling; Jake Gyllenhaal; Tom Hanks; Matthew McConaughey; Jude Law; Andrew Garfield; Edward Norton; Benedict Cumberbatch
rear-window,Lisa Fremont,Grace Kelly,Margot Robbie; Rachel McAdams; Penélope Cruz; Keira Knightley; Jessica Biel; Kate Winslet; Rebecca Ferguson; Rosamund Pike
rear-window,Thomas Doyle,Wendell Corey,Ed Harris; Tom Cruise; Richard Gere; Kevin Bacon; Aidan Gillen; Mark Strong; J.K. Simmons; Woody Harrelson
rear-window,Stella,Thelma Ritter,Meryl Streep; Frances McDormand; Jamie Lee Curtis; Michelle Pfeiffer; Amy Madigan; Jennifer Jason Leigh; Melanie Griffith; Kathy Bates
rear-window,Lars Thorwald,Raymond Burr,Tom Hardy; Javier Bardem; Mads Mikkelsen; Ralph Fiennes; Jon Bernthal; Joaquin Phoenix; Michael Shannon
rear-window,Miss Lonelyhearts,Judith Evelyn,Winona Ryder; Claire Danes; Samara Weaving; Annabelle Wallis; Eva Green; Natalie Dormer; Emilia Clarke; Elizabeth Olsen
rear-window,Miss Torso,Georgine Darcy,Sydney Sweeney; Anya Taylor-Joy; Zendaya; Elle Fanning; Madelyn Cline; Hailee Steinfeld; Alexandra Daddario; Megan Fox
psycho,Norman Bates,Anthony Perkins,Cillian Murphy; Barry Keoghan; Edward Norton; Jake Gyllenhaal; Adam Pearson; Jon Bernthal; Jack O'Connell
psycho,Marion Crane,Janet Leigh,Scarlett Johansson; Anya Taylor-Joy; Margot Robbie; Ana de Armas; Emma Stone; Rebecca Ferguson; Rachel McAdams; Amanda Seyfried
psycho,Lila Crane,Vera Miles,Elle Fanning; Sadie Sink; Madelyn Cline; Jenna Ortega; Hailee Steinfeld; Zendaya; Sydney Sweeney; Margaret Qualley
psycho,Sam Loomis,John Gavin,Jake Gyllenhaal; Ryan Gosling; Simon Baker; James Marsden; Andrew Garfield; Theo James; Jesse Plemons; Nicholas Hoult
psycho,Milton Arbogast,Martin Balsam,Morgan Freeman; Liam Neeson; Tom Hanks; Ed Harris; Kevin Bacon; J.K. Simmons; Walton Goggins; Stephen Graham
psycho,Al Chambers,John McIntire,Sam Elliott; Clint Eastwood; Kurt Russell; Harrison Ford; Bruce Willis; Woody Harrelson; Mel Gibson; Matthew McConaughey
psycho,Fred Richman,Simon Oakland,Mark Strong; Michael Shannon; Aidan Gillen; Benedict Cumberbatch; Ralph Fiennes; Javier Bardem; Mads Mikkelsen; Tony Leung Chiu-wai
ferris-buellers-day-off,Ferris Bueller,Matthew Broderick,Tom Holland; Ryan Gosling; Jacob Elordi; Andrew Garfield; Jake Gyllenhaal; Zac Efron; Joe Keery
ferris-buellers-day-off,Cameron Frye,Alan Ruck,Finn Wolfhard; Barry Keoghan; Jack O'Connell; Aidan Gillen; Nicholas Hoult; Elliot Page; Jesse Plemons; Edward Norton
ferris-buellers-day-off,Sloane Peterson,Mia Sara,Zendaya; Madelyn Cline; Sadie Sink; Anya Taylor-Joy; Elle Fanning; Hailee Steinfeld; Margaret Qualley; Dafne Keen
ferris-buellers-day-off,Ed Rooney,Jeffrey Jones,Ed Harris; Walton Goggins; J.K. Simmons; Mark Strong; Jude Law; Jon Bernthal; Sam Elliott; Stephen Graham
ferris-buellers-day-off,Jeanie Bueller,Jennifer Grey,Jennifer Grey; Winona Ryder; Claire Danes; Rachel McAdams; Katie Holmes; Natalie Dormer; Keira Knightley; Jennifer Jason Leigh
ferris-buellers-day-off,Katie Bueller,Cindy Pickett,Amy Madigan; Amy Adams; Diane Lane; Rachel Weisz; Kate Winslet; Michelle Pfeiffer; Jacqueline Bisset; Amanda Peet
ferris-buellers-day-off,Tom Bueller,Lyman Ward,Keanu Reeves; Tom Hanks; Harrison Ford; Kevin Bacon; Matthew McConaughey; George Clooney; Mel Gibson; Richard Gere
the-big-lebowski,The Dude,Jeff Bridges,Matthew McConaughey; Woody Harrelson; Sam Elliott; Kevin Bacon; Jack Black; Elijah Wood; Adam Sandler
the-big-lebowski,Walter Sobchak,John Goodman,Tom Hardy; Jon Bernthal; Walton Goggins; Jack O'Connell; Josh Brolin; Scott Adkins; Stephen Graham
the-big-lebowski,Maude Lebowski,Julianne Moore,Julianne Moore; Uma Thurman; Rebecca Ferguson; Rachel McAdams; Rosamund Pike; Kate Winslet; Rachel Weisz; Penélope Cruz
the-big-lebowski,Donny,Steve Buscemi,Elijah Wood; Barry Keoghan; Finn Wolfhard; Tom Holland; Jacob Elordi; Joe Keery; Noah Fearnley
the-big-lebowski,The Big Lebowski,David Huddleston,Morgan Freeman; Liam Neeson; Ed Harris; Harrison Ford; Bruce Willis; Al Pacino; Kurt Russell
the-big-lebowski,Brandt,Philip Seymour Hoffman,Philip Seymour Hoffman; Andrew Garfield; Edward Norton; Cillian Murphy; Jude Law; Aidan Gillen; Benedict Cumberbatch; Mark Strong
the-big-lebowski,Bunny Lebowski,Tara Reid,Alexandra Daddario; Megan Fox; Jessica Alba; Ali Larter; Samara Weaving; Arielle Kebbel; Annabelle Wallis
groundhog-day,Phil Connors,Bill Murray,Ryan Gosling; Jake Gyllenhaal; Matthew McConaughey; Jude Law; Tom Cruise; Leonardo DiCaprio; Cillian Murphy; Simon Baker
groundhog-day,Rita Hanson,Andie MacDowell,Emma Stone; Rachel McAdams; Anne Hathaway; Margot Robbie; Rebecca Ferguson; Anya Taylor-Joy; Penélope Cruz; Keira Knightley
groundhog-day,Larry,Chris Elliott,Jack Black; Walton Goggins; Jesse Plemons; Kevin Bacon; Shia LaBeouf; Adam Sandler; Kevin Hart; John Cena
groundhog-day,Ned Ryerson,Stephen Tobolowsky,Mark Strong; Aidan Gillen; Stephen Graham; Edward Norton; Jon Bernthal; Barry Keoghan
groundhog-day,Buster Green,Brian Doyle-Murray,Ed Harris; Kurt Russell; Harrison Ford; Sam Elliott; Mel Gibson; Liam Neeson; Kevin Bacon; Clint Eastwood
groundhog-day,Nancy Taylor,Marita Geraghty,Ginnifer Goodwin; Amanda Seyfried; Hailee Steinfeld; Alexandra Daddario; Arielle Kebbel; Samara Weaving; Annabelle Wallis; Rachel McAdams
groundhog-day,Mme Lancaster,Angela Paton,Jamie Lee Curtis; Amy Madigan; Frances McDormand; Emma Thompson; Jacqueline Bisset; Diane Lane; Joan Van Ark; Lynda Bellingham
superbad,Seth,Jonah Hill,Jack Black; Adam Sandler; Shia LaBeouf; Jesse Plemons; Andrew Garfield; Nicholas Hoult; Joe Keery; Finn Wolfhard
superbad,Evan,Michael Cera,Tom Holland; Jacob Elordi; Barry Keoghan; Song Weilong; Chen Zheyuan; Dylan Wang; Edward Chen
superbad,Fogell,Christopher Mintz-Plasse,Elijah Wood; Hayden Christensen; Elliot Page; Dev Patel; Alfred Molina; Anton Yelchin
superbad,Officer Slater,Bill Hader,Simon Baker; Jon Bernthal; Walton Goggins; Mark Strong; Jude Law; Pedro Pascal; Jake Gyllenhaal; Theo James
superbad,Officer Michaels,Seth Rogen,Kevin Bacon; Ed Harris; Jeffrey Dean Morgan; Kevin Hart; Woody Harrelson; Matthew McConaughey; Jim Carrey; Dwayne Johnson
superbad,Becca,Martha MacIsaac,Elle Fanning; Hailee Steinfeld; Sadie Sink; Madelyn Cline; Zendaya; Isabel May; Emma Myers; Anya Taylor-Joy
superbad,Jules,Emma Stone,Emma Stone; Zoe Saldaña; Jenna Ortega; Margot Robbie; Margaret Qualley; Rachel McAdams; Amanda Seyfried; Samara Weaving
raiders-of-the-lost-ark,Indiana Jones,Harrison Ford,Ryan Gosling; Jake Gyllenhaal; Tom Cruise; Pedro Pascal; Matthew McConaughey; Jude Law
raiders-of-the-lost-ark,Marion Ravenwood,Karen Allen,Rachel Weisz; Keira Knightley; Ana de Armas; Rebecca Ferguson; Charlize Theron; Michelle Pfeiffer; Eva Green; Penélope Cruz
raiders-of-the-lost-ark,Dr. René Belloq,Paul Freeman,Javier Bardem; Cillian Murphy; Mark Strong; Mads Mikkelsen; Ralph Fiennes; Ed Harris; Adrien Brody; Tom Hiddleston
raiders-of-the-lost-ark,Sallah,John Rhys-Davies,Denzel Washington; Idris Elba; Dwayne Johnson; Morgan Freeman; Liam Neeson
raiders-of-the-lost-ark,Major Arnold Toht,Ronald Lacey,Jack O'Connell; Walton Goggins; Aidan Gillen; Jon Bernthal; Barry Keoghan; Jesse Plemons; Nicholas Hoult
raiders-of-the-lost-ark,Colonel Dietrich,Wolf Kahler,Tom Hardy; Michael Shannon; Boyd Holbrook; Aaron Paul; Alexander Skarsgård; Edgar Ramírez
raiders-of-the-lost-ark,Gobler,Anthony Higgins,David Dastmalchian; Brian Cox; Cary Elwes; Michael Stuhlbarg; Steven Berkoff
the-empire-strikes-back,Luke Skywalker,Mark Hamill,Tom Holland; Jacob Elordi; Hayden Christensen; Joe Keery; Andrew Garfield; Finn Wolfhard; Elijah Wood; Barry Keoghan
the-empire-strikes-back,Han Solo,Harrison Ford,Ryan Gosling; Jake Gyllenhaal; Theo James; Tom Hardy; Jude Law
the-empire-strikes-back,Princess Leia,Carrie Fisher,Natalie Portman; Emma Watson; Margot Robbie; Emilia Clarke; Charlize Theron; Rachel McAdams; Kristen Stewart; Rosamund Pike
the-empire-strikes-back,Lando Calrissian,Billy Dee Williams,Idris Elba; Tony Leung Chiu-wai; Denzel Washington; Cillian Murphy; Dwayne Johnson; Aidan Gillen; George Clooney
the-empire-strikes-back,C-3PO,Anthony Daniels,Benedict Cumberbatch; Mark Strong; Ralph Fiennes; Jude Law; Jim Carrey; Eddie Redmayne; Tilda Swinton
the-empire-strikes-back,Darth Vader,David Prowse,Arnold Schwarzenegger; Dolph Lundgren; Jason Momoa; Dave Bautista; Vin Diesel; Jean-Claude Van Damme; Chuck Norris; Alan Ritchson
the-empire-strikes-back,Chewbacca,Peter Mayhew,Jason Momoa; Dave Bautista; Dwayne Johnson; John Cena; Vin Diesel; Alan Ritchson; Terry Crews
back-to-the-future,Marty McFly,Michael J. Fox,Tom Holland; Jacob Elordi; Andrew Garfield; Elijah Wood; Joe Keery; Finn Wolfhard; Zac Efron
back-to-the-future,Emmett Brown,Christopher Lloyd,Keanu Reeves; Johnny Depp; Jim Carrey; Nicolas Cage; Jude Law; Benedict Cumberbatch; Edward Norton; Ralph Fiennes
back-to-the-future,George McFly,Crispin Glover,Edward Norton; Jesse Plemons; Jack O'Connell; Simon Baker; Hayden Christensen; Jon Bernthal; Aidan Gillen; Walton Goggins
back-to-the-future,Lorraine Baines,Lea Thompson,Zendaya; Anya Taylor-Joy; Elle Fanning; Madelyn Cline; Margaret Qualley; Hailee Steinfeld; Ivanna Sakhno; Samara Weaving
back-to-the-future,Jennifer Parker,Claudia Wells,Jenna Ortega; Sadie Sink; Mckenna Grace; Elle Fanning; Madelyn Cline; Emma Myers; Millie Bobby Brown; Ester Expósito
back-to-the-future,Biff Tannen,Thomas F. Wilson,Jason Statham; Alan Ritchson; Dave Bautista; Chris Hemsworth; Jason Momoa; Vin Diesel; Dwayne Johnson
back-to-the-future,Dave McFly,Marc McClure,Nicholas Hoult; Jesse Plemons; Jack O'Connell; Tyriq Withers; Hudson Williams; Song Weilong; Chen Zheyuan; Giulio Berruti
fellowship-of-the-ring,Frodo,Elijah Wood,Tom Holland; Elijah Wood; Jacob Elordi; Finn Wolfhard; Noah Fearnley; Tyriq Withers; Hudson Williams; Zhang Linghe
fellowship-of-the-ring,Gandalf,Ian McKellen,Morgan Freeman; Liam Neeson; Tom Hanks; Harrison Ford; Jude Law; Ed Harris; Kevin Bacon; Ralph Fiennes
fellowship-of-the-ring,Aragorn,Viggo Mortensen,Jake Gyllenhaal; Pedro Pascal; Charlie Hunnam; Matt Damon; Jon Bernthal; Andrew Garfield
fellowship-of-the-ring,Sam,Sean Astin,Jack O'Connell; Jesse Plemons; Hayden Christensen; Barry Keoghan; Michele Morrone; Song Weilong; Chen Zheyuan; Theo James
fellowship-of-the-ring,Bilbo,Ian Holm,Martin Freeman; Simon Baker; Adrien Brody; Tobey Maguire; Leonardo DiCaprio; Mark Strong; Joaquin Phoenix; Jeremy Renner
fellowship-of-the-ring,Arwen,Liv Tyler,Anya Taylor-Joy; Zendaya; Emma Stone; Rebecca Ferguson; Ana de Armas; Elle Fanning; Hailee Steinfeld; Rosamund Pike
fellowship-of-the-ring,Saruman,Christopher Lee,Mark Strong; Javier Bardem; Mads Mikkelsen; Ralph Fiennes; Christoph Waltz; Toni Collette; Willem Dafoe; Alan Rickman
the-princess-bride,Westley,Cary Elwes,Tom Holland; Jacob Elordi; Andrew Garfield; Jake Gyllenhaal; Hayden Christensen; Theo James; Joe Keery
the-princess-bride,The Princess Bride,Robin Wright,Anya Taylor-Joy; Zendaya; Hailee Steinfeld; Elle Fanning; Sadie Sink; Madelyn Cline; Jenna Ortega; Emma Stone
the-princess-bride,Inigo Montoya,Mandy Patinkin,Pedro Pascal; Jake Gyllenhaal; Jon Bernthal; Barry Keoghan; Jack O'Connell; Jesse Plemons; Aidan Gillen
the-princess-bride,Prince Humperdinck,Chris Sarandon,Cillian Murphy; Tom Hardy; Benedict Cumberbatch; Jude Law; Mark Strong; Mads Mikkelsen; Ralph Fiennes; Javier Bardem
the-princess-bride,Count Rugen,Christopher Guest,Walton Goggins; Edward Norton; Josh Brolin; Adrien Brody; Joaquin Phoenix; Michael Shannon; Luke Evans
the-princess-bride,Vizzini,Wallace Shawn,Jim Carrey; Jack Black; Danny McBride; Woody Harrelson; Kevin Hart; Adam Sandler; Nicolas Cage; Michael Shannon
the-princess-bride,Fezzik,André Roussimoff,Jason Momoa; Alan Ritchson; Dave Bautista; Dwayne Johnson; Vin Diesel; Jason Statham; Sylvester Stallone; John Cena
chinatown,J.J. 'Jake' Gittes,Jack Nicholson,Ryan Gosling; Jake Gyllenhaal; Pedro Pascal; Jude Law; Jon Bernthal; Jack O'Connell; Aidan Gillen; Jesse Plemons
chinatown,Evelyn Cross Mulwray,Faye Dunaway,Rebecca Ferguson; Rachel McAdams; Rosamund Pike; Kate Winslet; Nicole Kidman; Charlize Theron; Eva Green; Rachel Weisz
chinatown,Lieutenant Lou Escobar,Perry Lopez,Denzel Washington; Idris Elba; Walton Goggins; Sterling K. Brown; Giancarlo Esposito; David Oyelowo
chinatown,Russ Yelburton,John Hillerman,Ed Harris; Kurt Russell; Harrison Ford; Sam Elliott; Kevin Bacon; Bruce Willis; Richard Gere; Mel Gibson
chinatown,Ida Sessions,Diane Ladd,Frances McDormand; Jacqueline Bisset; Amy Madigan; Michelle Pfeiffer; Lena Headey; Jennifer Jason Leigh; Diane Lane; Jamie Lee Curtis
chinatown,Claude Mulvihill,Roy Jenson,Mark Strong; Tom Hardy; Javier Bardem; Benedict Cumberbatch; Ralph Fiennes; Stephen Graham; David Dastmalchian; Paul Anderson
chinatown,Detective Loach,Richard Bakalyan,Woody Harrelson; Josh Brolin; Chris Evans; Adrien Brody; Jack Black; Matthew McConaughey; Ben Affleck; Clint Eastwood
apocalypse-now,Captain Benjamin Willard,Martin Sheen,Leonardo DiCaprio; Jake Gyllenhaal; Tom Hardy; Edward Norton; Jon Bernthal; Jack O'Connell; Andrew Garfield
apocalypse-now,Colonel Walter Kurtz,Marlon Brando,Javier Bardem; Ralph Fiennes; Mads Mikkelsen; Ed Harris; Liam Neeson; Richard Gere; Lance Reddick; Michael Shannon
apocalypse-now,Jay 'Chef' Hicks,Frederic Forrest,Jon Bernthal; Pedro Pascal; Walton Goggins; Jesse Plemons; Josh Brolin; Jeremy Strong; Barry Keoghan
apocalypse-now,Chief Phillips,Albert Hall,Denzel Washington; Morgan Freeman; Idris Elba; Woody Harrelson; Jeffrey Wright
apocalypse-now,Tyrone 'Clean' Miller,Laurence Fishburne,Shia LaBeouf; Noah Fearnley; Jacob Elordi; Tom Holland; Deng Kai; Zhang Linghe; Tyriq Withers; Hudson Williams
apocalypse-now,Lance B. Johnson,Sam Bottoms,Tom Holland; Jacob Elordi; Finn Wolfhard; Ansel Elgort; Zhang Linghe; Chen Zheyuan; Song Weilong
apocalypse-now,Lieutenant Colonel Bill Kilgore,Robert Duvall,Tom Cruise; Brad Pitt; Kurt Russell; Bruce Willis; Mel Gibson; Arnold Schwarzenegger; Chuck Norris; Jean-Claude Van Damme
alien,Dallas,Tom Skerritt,Pedro Pascal; Jake Gyllenhaal; Tom Hardy; Jude Law; Jon Bernthal; Jack O'Connell; Andrew Garfield; Benedict Cumberbatch
alien,Ripley,Sigourney Weaver,Charlize Theron; Rebecca Ferguson; Scarlett Johansson; Ana de Armas; Rosamund Pike; Rachel Weisz; Keira Knightley; Emilia Clarke
alien,Lambert,Veronica Cartwright,Zoe Saldaña; Zendaya; Hailee Steinfeld; Jurnee Smollett; Elizabeth Olsen; Samara Weaving; Anya Taylor-Joy; Elle Fanning
alien,Brett,Harry Dean Stanton,Edward Norton; Walton Goggins; Jesse Plemons; Stephen Graham; Barry Keoghan; Aidan Gillen; Jeffrey Dean Morgan; Scott Adkins
alien,Kane,John Hurt,Cillian Murphy; Joseph Gordon-Levitt; Dev Patel; Ansel Elgort
alien,Ash,Ian Holm,Michael Fassbender; Adam Driver; Nikolaj Coster-Waldau; Michael Shannon; Brian Cox; Ralph Fiennes
alien,Parker,Yaphet Kotto,Idris Elba; Mahershala Ali; Donald Glover; Denzel Washington
the-sopranos,Tony Soprano,James Gandolfini,Leonardo DiCaprio; Jon Bernthal; Jake Gyllenhaal; Josh Brolin; Javier Bardem; Matthew McConaughey; Al Pacino; Pedro Pascal
the-sopranos,Carmela Soprano,Edie Falco,Nicole Kidman; Kate Winslet; Julianne Moore; Rachel Weisz; Charlize Theron; Penélope Cruz; Rebecca Ferguson; Jennifer Connelly
the-sopranos,Meadow Soprano,Jamie-Lynn Sigler,Madelyn Cline; Hailee Steinfeld; Anya Taylor-Joy; Zendaya; Sydney Sweeney; Samara Weaving; Margaret Qualley
the-sopranos,A.J. Soprano,Robert Iler,Jacob Elordi; Tom Holland; Finn Wolfhard; Noah Fearnley; Song Weilong; Tyriq Withers; Hudson Williams; Deng Kai
the-sopranos,Jennifer Melfi,Lorraine Bracco,Ana de Armas; Emilia Clarke; Morena Baccarin; Amanda Seyfried; Annabelle Wallis; Katie Holmes; Rosamund Pike; Kelly Reilly
the-sopranos,Christopher Moltisanti,Michael Imperioli,Barry Keoghan; Jack O'Connell; Andrew Garfield; Shia LaBeouf; Michele Morrone; Giulio Berruti; Jesse Plemons; Theo James
the-sopranos,Silvio Dante,Steven Van Zandt,Tony Leung Chiu-wai; Mark Strong; Mads Mikkelsen; Walton Goggins; Ed Harris; Aidan Gillen; Simon Baker; Richard Gere
breaking-bad,Walter White,Bryan Cranston,Bryan Cranston; Jon Bernthal; Matthew McConaughey; Mark Strong; Jude Law; Ralph Fiennes; Mads Mikkelsen; Pedro Pascal
breaking-bad,Jesse Pinkman,Aaron Paul,Aaron Paul; Jacob Elordi; Jack O'Connell; Barry Keoghan; Joe Keery; Tyriq Withers; Noah Fearnley; Andrew Garfield
breaking-bad,Skyler White,Anna Gunn,Anna Gunn; Rebecca Ferguson; Rosamund Pike; Rachel McAdams; Kate Winslet; Ana de Armas; Annabelle Wallis; Claire Danes
breaking-bad,Walter White Jr.,RJ Mitte,RJ Mitte; Tom Holland; Deng Kai; Jacob Elordi; Zhang Linghe; Noah Fearnley; Hudson Williams; Tyriq Withers
breaking-bad,Hank Schrader,Dean Norris,Dean Norris; Jon Bernthal; Walton Goggins; Jesse Plemons; Jeffrey Dean Morgan; Ed Harris; Sam Elliott; Kevin Bacon
breaking-bad,Marie Schrader,Betsy Brandt,Betsy Brandt; Amy Madigan; Kaley Cuoco; Penélope Cruz; Emilia Clarke; Marisa Tomei; Kelly Reilly; Sela Ward
breaking-bad,Saul Goodman,Bob Odenkirk,Bob Odenkirk; Jim Carrey; Jack Black; Adam Sandler; Kevin Hart; Michael Shannon; Woody Harrelson
the-wire,Jimmy McNulty,Dominic West,Jake Gyllenhaal; Jon Bernthal; Andrew Garfield; Edward Norton; Ben Affleck; Jesse Plemons; Jack O'Connell; Joe Keery
the-wire,Cedric Daniels,Lance Reddick,Idris Elba; Denzel Washington; Morgan Freeman; Javier Bardem; Sterling K. Brown; Mads Mikkelsen; Pedro Pascal
the-wire,Kima Greggs,Sonja Sohn,Jurnee Smollett; Charlize Theron; Zoe Saldaña; Halle Berry; Regina King; Angela Bassett
the-wire,Bunk Moreland,Wendell Pierce,Walton Goggins; Woody Harrelson; Kevin Bacon; Kurt Russell; Sam Elliott; Matthew McConaughey; Ed Harris
the-wire,Omar Little,Michael Kenneth Williams,Barry Keoghan; Jack O'Connell; Shia LaBeouf; Elijah Wood; Tyler Hoechlin; Tom Holland
the-wire,Rhonda Pearlman,Deirdre Lovejoy,Rachel McAdams; Rebecca Ferguson; Ana de Armas; Rosamund Pike; Keira Knightley; Amy Adams; Kate Winslet
the-wire,Bubbles,Andre Royo,Ben Affleck; Aaron Paul; Paul Dano; Adam Pearson; Michael Shannon; Joaquin Phoenix
game-of-thrones,Tyrion 'The Halfman' Lannister,Peter Dinklage,Peter Dinklage; Danny DeVito; Warwick Davis
game-of-thrones,Jon Snow,Kit Harington,Kit Harington; Jack O'Connell; Jacob Elordi; Hayden Christensen; Theo James; Song Weilong; Chen Zheyuan; Tian Xuning
game-of-thrones,Sir Jaime 'Kingslayer' Lannister,Nikolaj Coster-Waldau,Nikolaj Coster-Waldau; Simon Baker; Jake Gyllenhaal; Jude Law; Jon Bernthal; Mark Strong; Pedro Pascal; Michele Morrone
game-of-thrones,Cersei Lannister,Lena Headey,Lena Headey; Charlize Theron; Penélope Cruz; Rebecca Ferguson; Rachel Weisz; Kate Winslet; Rosamund Pike; Eva Green
game-of-thrones,Daenerys Targaryen,Emilia Clarke,Emilia Clarke; Anya Taylor-Joy; Elle Fanning; Margot Robbie; Zendaya; Emma Stone; Lily James; Tian Xiwei
game-of-thrones,Davos Seaworth,Liam Cunningham,Liam Cunningham; Tom Hanks; Liam Neeson; Ed Harris; Sam Elliott; Kevin Bacon; Kurt Russell; Harrison Ford
game-of-thrones,Arya Stark,Maisie Williams,Sadie Sink; Jenna Ortega; Dafne Keen; Emma Myers; Millie Bobby Brown; Ella Purnell; Elle Chapman
the-west-wing,Josiah Bartlet,Martin Sheen,Tom Hanks; Harrison Ford; Denzel Washington; Richard Gere; Matt Damon; George Clooney; Jude Law; Ralph Fiennes
the-west-wing,C.J. Cregg,Allison Janney,Sandra Bullock; Jennifer Aniston; Nicole Kidman; Rachel McAdams; Amy Adams; Kate Hudson; Diane Lane; Claire Danes
the-west-wing,Leo McGarry,John Spencer,Morgan Freeman; Liam Neeson; Kurt Russell; Ed Harris; Sam Elliott; Jack O'Connell; Jon Bernthal; Walton Goggins
the-west-wing,Josh Lyman,Bradley Whitford,Jake Gyllenhaal; Andrew Garfield; Joseph Gordon-Levitt; Aaron Paul; Jesse Plemons; Theo James
the-west-wing,Will Bailey,Joshua Malina,Tom Holland; Jacob Elordi; Dacre Montgomery; Barry Keoghan; Dev Patel; Jack Lowden; Nicholas Hoult
the-west-wing,Arnold Vinick,Alan Alda,Alan Ritchson; Mark Harmon; Jeff Daniels; David Morse
the-west-wing,Matthew Santos,Jimmy Smits,Pedro Pascal; Michael Peña; Yahya Abdul-Mateen II
mad-men,Don Draper,Jon Hamm,Ryan Gosling; Jake Gyllenhaal; Pedro Pascal; Jude Law; Jon Bernthal; Andrew Garfield; Tom Hardy; Cillian Murphy
mad-men,Peggy Olson,Elisabeth Moss,Emma Stone; Anya Taylor-Joy; Hailee Steinfeld; Rebecca Ferguson; Margot Robbie; Rachel McAdams; Margaret Qualley; Keira Knightley
mad-men,Pete Campbell,Vincent Kartheiser,Jesse Plemons; Nicholas Hoult; Theo James; Jacob Elordi; Jack O'Connell; Joe Keery; Barry Keoghan; Aidan Gillen
mad-men,Betty Draper,January Jones,Nicole Kidman; Kate Winslet; Charlize Theron; Rachel Weisz; Claire Danes; Eva Green; Diane Lane; Jennifer Connelly
mad-men,Joan Holloway,Christina Hendricks,Scarlett Johansson; Ana de Armas; Penélope Cruz; Morena Baccarin; Emilia Clarke; Rosamund Pike; Michelle Pfeiffer; Zoe Saldaña
mad-men,Ken Cosgrove,Aaron Staton,Simon Baker; Mark Strong; Walton Goggins; Ed Harris; Javier Bardem; Mads Mikkelsen; Ralph Fiennes; Idris Elba
mad-men,Harry Crane,Rich Sommer,Jim Carrey; Jack Black; John Travolta; Ben Affleck; Chris Evans; Jeremy Renner; Kevin Bacon
succession,Kendall Roy,Jeremy Strong,Jake Gyllenhaal; Edward Norton; Andrew Garfield; Jon Bernthal; Jack O'Connell; Jesse Plemons; Theo James
succession,Roman Roy,Kieran Culkin,Barry Keoghan; Finn Wolfhard; Tyriq Withers; Noah Fearnley; Jacob Elordi; Song Weilong; Chen Zheyuan; Hudson Williams
succession,Siobhan 'Shiv' Roy,Sarah Snook,Anne Hathaway; Rachel McAdams; Margot Robbie; Rebecca Ferguson; Charlize Theron; Rosamund Pike; Kate Mara; Margaret Qualley
succession,Logan Roy,Brian Cox,Denzel Washington; Harrison Ford; Javier Bardem; Ralph Fiennes; Al Pacino; Sam Elliott
succession,Tom Wambsgans,Matthew Macfadyen,Simon Baker; James Marsden; Jude Law; Aidan Gillen; Mark Strong; Benedict Cumberbatch; Mads Mikkelsen; Theo James
succession,Connor Roy,Alan Ruck,Kurt Russell; Richard Gere; Robert Redford; Eric Roberts; David Morse; Michael Shannon; Matthew McConaughey
succession,Gerri Kellman,J. Smith-Cameron,Jacqueline Bisset; Jamie Lee Curtis; Michelle Pfeiffer; Julianne Moore; Frances McDormand; Meryl Streep; Amy Adams; Kate Winslet
seinfeld,Jerry Seinfeld,Jerry Seinfeld,Ryan Gosling; Jake Gyllenhaal; Andrew Garfield; Simon Baker; James Marsden; Joe Keery; Jesse Plemons; Finn Wolfhard
seinfeld,George Costanza,Jason Alexander,Jack Black; Adam Sandler; Jonah Hill; Seth Rogen; Woody Harrelson; Kevin Hart; Paul Rudd; Jack O'Connell
seinfeld,Cosmo Kramer,Michael Richards,Nicolas Cage; Jim Carrey; Johnny Depp; Adrien Brody; Edward Norton; Matthew McConaughey; Jude Law
seinfeld,Elaine Benes,Julia Louis-Dreyfus,Scarlett Johansson; Emma Stone; Margot Robbie; Anne Hathaway; Jennifer Aniston; Rachel McAdams; Kate Winslet; Reese Witherspoon
the-office,Dwight Schrute,Rainn Wilson,Alan Ritchson; Jon Bernthal; Jack O'Connell; Jesse Plemons; Walton Goggins; Mark Strong; Stephen Graham; Scott Adkins
